,ID,trial,TargetPosition,RT,ampRT,ampSacc
0,100,0,80,208,11,16.91151740951405
1,101,1,80,211,32,16.04770579216974
2,102,2,80,209,16,17.41824798895195
3,103,3,80,218,23,15.458073445008829
4,104,4,80,208,19,17.98232906664836
5,105,5,80,211,24,17.88492051676412
6,106,6,80,210,16,16.4007990814593
7,107,7,80,218,19,16.710476224832597
8,108,8,80,207,29,17.945743222185296
9,109,9,80,216,21,17.772107748462474
10,110,10,80,206,17,17.743909618510052
11,111,11,80,216,14,16.319362437930902
12,112,12,80,204,15,17.097367339226892
13,113,13,80,212,28,16.46901267951878
14,114,14,80,206,14,18.70988092951867
15,115,15,80,210,24,18.13640724564955
16,116,16,80,227,36,17.60254317709
17,117,17,80,222,21,16.472939930117562
18,118,18,80,206,36,18.295068089024703
19,119,19,80,215,18,17.788417913107182
20,120,20,80,229,25,16.73928925628703
21,121,21,80,220,15,16.59725104263905
22,122,22,80,205,23,17.178151254042135
23,123,23,80,226,22,15.92428288836025
24,124,24,80,210,25,17.371778835720825
25,125,25,80,208,12,17.700552889848865
26,126,26,80,229,13,16.058603458137686
27,127,27,80,213,29,15.524943161429045
28,128,28,80,207,21,17.336773773664827
29,129,29,80,209,29,17.6206052901327
30,130,30,80,219,23,15.759651716820883
31,131,31,80,210,22,17.970807399830875
32,132,32,80,216,10,15.824111177873338
33,133,33,80,230,32,17.794476180408843
34,134,34,80,217,30,17.04858461568156
35,135,35,80,204,15,17.94584371237312
36,136,36,80,208,19,18.45473776570651
37,137,37,80,209,27,16.876964583258996
38,138,38,80,215,5,17.9584527692054
39,139,39,80,229,41,14.867670903106319
40,140,40,80,222,36,16.119984299455595
41,141,41,80,230,24,16.63358894375887
42,142,42,80,212,21,16.84975713294947
43,143,43,80,225,23,16.922431054430984
44,144,44,80,234,35,15.873465985635804
45,145,45,80,212,25,15.67624050396763
46,146,46,80,229,24,16.760744876006687
47,147,47,80,231,15,16.81470929930197
48,148,48,80,208,27,17.597814797234157
49,149,49,80,225,24,15.110741259208309
50,150,50,80,224,28,15.977326270863541
51,151,51,80,208,14,17.452927272101793
52,152,52,80,225,13,18.037947511750097
53,153,53,80,212,21,16.784675425888548
54,154,54,80,214,25,16.52095426284785
55,155,55,80,222,27,14.410069880225084
56,156,56,80,210,8,17.488036327180954
57,157,57,80,214,13,15.592380455440473
58,158,58,80,214,20,18.05364043729751
59,159,59,80,216,24,16.14347882091856
60,160,60,80,206,38,17.747699125785616
61,161,61,80,215,30,17.653313537502186
62,162,62,80,224,16,17.68145176312185
63,163,63,80,213,15,18.527346188300157
64,164,64,80,224,23,15.552940998442388
65,165,65,80,227,30,16.207391861044826
66,166,66,80,210,18,18.4402082961208
67,167,67,80,224,15,16.11462909482769
68,168,68,80,222,13,15.48067707829602
69,169,69,80,206,33,17.5412536008051
70,170,70,80,216,20,15.81035720682577
71,171,71,80,212,27,16.672202697568018
72,172,72,80,215,39,19.449277760753567
73,173,73,80,212,35,15.839644334702315
74,174,74,80,204,21,17.542658164410305
75,175,75,80,205,36,17.686646897187536
76,176,76,80,221,23,16.532010931763537
77,177,77,80,206,23,17.8946184213481
78,178,78,80,214,15,16.533511281174228
79,179,79,80,205,25,17.22797682666959
80,180,80,80,208,25,17.412603637642178
81,181,81,80,212,20,16.771052340129295
